id,age,sex_id,sire_id,dam_id,prize_money,,,,,
17,2,1,17,17,31760,,,,,
22,2,2,22,22,32720,,,,,
16884,2,2,109,13297,0,,,,,
23,2,2,23,23,0,,,,,
24,2,2,24,24,2050,,,,,
973,2,4,109,960,6060,,,,,
971,2,4,366,958,0,,,,,
1448,2,4,48,1414,5160,,,,,
1657,2,4,278,1616,21325,,,,,
2837,2,4,137,1719,2340,,,,,
2839,2,4,10,1721,0,,,,,
20465,2,4,48,11018,0,,,,,
20466,2,4,17,15402,0,,,,,
20467,2,4,107,812,0,,,,,
20468,2,4,623,11328,0,,,,,
20469,2,4,109,15403,0,,,,,
16219,2,5,33,9559,0,,,,,
15,3,1,15,15,11625,,,,,
28,3,1,27,28,632,,,,,
18567,3,1,176,351,84470,,,,,
27,3,1,26,27,17300,,,,,
5,3,2,5,5,1075,,,,,
7023,3,2,133,5774,21900,,,,,
34,3,2,6,34,7660,,,,,
36,3,2,33,36,12770,,,,,
147,3,2,109,147,26623,,,,,
178,3,2,128,178,20525,,,,,
7,3,2,7,7,1215,,,,,
14,3,2,14,14,575,,,,,
48,3,2,37,48,1100,,,,,
130,3,2,99,130,37490,,,,,
219,3,2,153,219,4100,,,,,
183,3,2,5,183,27700,,,,,
1897,3,2,109,7199,310450,,,,,
270,3,2,33,270,4775,,,,,
21550,3,2,263,1905,0,,,,,
7040,3,4,43,5789,5750,,,,,
1311,3,4,332,1283,2650,,,,,
1473,3,4,87,1437,20300,,,,,
1588,3,4,105,1551,19500,,,,,
1664,3,4,107,1623,2425,,,,,
1735,3,4,237,1692,21700,,,,,
3566,3,4,526,2433,1635,,,,,
2512,3,4,32,9525,56650,,,,,
2511,3,4,103,6444,112650,,,,,
11550,3,4,142,9706,56485,,,,,
2834,3,4,366,1716,41760,,,,,
2830,3,4,167,524,1290,,,,,
11555,3,4,137,9711,49625,,,,,
5739,3,4,232,4523,94525,,,,,
3238,3,4,132,2110,15500,,,,,
2836,3,4,445,1718,37485,,,,,
3261,3,4,252,2132,10500,,,,,
3549,3,4,20,2415,41100,,,,,
3675,3,4,32,2534,17035,,,,,
3569,3,4,48,2436,42230,,,,,
3886,3,4,131,2730,12840,,,,,
10537,3,5,295,8977,10050,,,,,
19800,3,5,148,14999,3000,,,,,
87,4,1,73,87,19680,,,,,
32,4,3,31,32,20625,,,,,
39,4,3,36,39,11290,,,,,
11,4,3,11,16033,6325,,,,,
100,4,3,40,100,12495,,,,,
38,4,3,35,38,8600,,,,,
11505,4,3,118,9671,14435,,,,,
42,4,3,37,42,1700,,,,,
758,4,3,184,749,25145,,,,,
692,4,5,294,683,20125,,,,,
364,4,6,212,362,23943,,,,,
675,4,6,176,351,46130,,,,,
687,4,6,4,678,46105,,,,,
677,4,6,36,668,56000,,,,,
990,4,6,107,975,575,,,,,
1121,4,6,17,1101,157475,,,,,
1324,4,6,246,1295,53750,,,,,
1304,4,6,48,1276,40700,,,,,
1833,4,6,33,15648,19960,,,,,
11537,4,6,32,9696,275525,,,,,
1945,4,6,199,2343,45200,,,,,
2023,4,6,240,6408,274900,,,,,
2021,4,6,66,10988,422300,,,,,
2299,4,6,117,5694,642300,,,,,
3016,4,6,3,1895,15260,,,,,
16927,4,6,206,13324,438300,,,,,
3151,4,6,274,2025,3600,,,,,
3280,4,6,243,2150,8700,,,,,
3271,4,6,233,2141,19800,,,,,
3665,4,6,48,2525,5635,,,,,
20479,4,6,326,1048,0,,,,,
4751,4,6,202,3558,86800,,,,,
4786,4,6,60,3587,52700,,,,,
16964,4,6,7,13346,700,,,,,
5820,4,6,321,3388,125650,,,,,
5816,4,6,109,4598,179875,,,,,
5823,4,6,87,4604,24220,,,,,
5814,4,6,10,4596,270945,,,,,
112,5,1,52,112,92430,,,,,
71,5,1,62,71,44083,,,,,
67,5,3,57,67,12506,,,,,
53,5,3,45,53,9580,,,,,
6,5,3,6,6,25300,,,,,
82,5,3,69,82,68975,,,,,
47,5,3,42,47,7070,,,,,
66,5,3,58,66,49041,,,,,
90,5,3,76,90,91256,,,,,
9,5,3,9,9,15235,,,,,
17791,5,3,184,13877,78760,,,,,
135,5,3,12,135,12165,,,,,
136,5,3,103,136,15880,,,,,
912,5,5,321,900,75255,,,,,
9545,5,5,130,7655,141390,,,,,
13973,5,6,93,11391,0,,,,,
1061,5,6,107,1044,276840,,,,,
2166,5,6,321,3385,1032960,,,,,
4501,5,6,133,3323,775,,,,,
4215,5,6,77,3048,61400,,,,,
4399,5,6,86,3223,45155,,,,,
4717,5,6,128,3529,33715,,,,,
5414,5,6,127,4188,363450,,,,,
80,6,1,62,80,23820,,,,,
107,6,3,47,107,135695,,,,,
62,6,3,54,62,45460,,,,,23820
54,6,3,46,54,11465,,,,,135695
70,6,3,61,70,44493,,,,,45460
194,6,3,136,194,15856,,,,,11465
1273,6,5,406,618,66800,,,,,44493
796,6,6,37,787,104675,,,,,15856
1057,6,6,12,1040,594735,,,,,66800
2136,6,6,732,5392,299500,,,,,104675
2298,6,6,78,13606,1047063,,,,,594735
3415,6,6,281,2279,2000,,,,,299500
16967,6,6,340,13349,1143006,,,,,1047063
5560,6,6,241,4340,274338,,,,,2000
5861,6,6,333,4642,7950,,,,,1143006
91,7,3,30,91,30095,,,,,274338
94,7,3,78,94,86325,,,,,7950
63,7,3,55,63,21103,,,,,254457.0667
72,7,3,10,72,111610,,,,,
2549,7,6,684,6354,595528,,,,,
20472,7,6,12,15405,54760,,,,,
4716,7,6,1,3528,64060,,,,,
58,8,1,50,58,105081,,,,,
69,8,1,60,69,127810,,,,,
170,8,3,30,170,182233,,,,,
17231,9,5,265,13519,85100,,,,,
