id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
1,6/26/16 19:00,1,3,1200,1,1,29718.08,,11564.5,5373,23464.8,5373
2,6/26/16 19:05,2,2,1200,2,2,16169.99,,12624,3681,9001.42,3681
3,6/26/16 19:30,1,4,1400,1,1,12282.57,,13233,5816,24191.1,5816
4,6/26/16 19:40,2,3,1400,2,2,13000.05,,14416.5,6568.5,11542.2,6568.5
5,6/26/16 20:00,1,5,1600,1,1,16194.21,,16076.5,6875.5,28934.6,6875.5
6,6/26/16 20:15,2,4,1400,2,2,15451.43,,12491,2699,10583.2,2699
7,6/26/16 20:30,1,6,2100,1,1,33079.34,,18576.5,8536,31828.3,8536
8,6/26/16 20:50,2,5,1600,2,2,18208.66,,17736,7304.5,15228.6,7304.5
9,6/26/16 21:00,1,7,1200,1,1,26881.64,,17378.5,8493,31739.1,8493
10,6/26/16 21:25,2,6,1600,2,2,19138.8,,22338.5,9272.5,21015.7,9272.5
11,6/26/16 21:30,1,8,1200,1,1,11319.93,,14674.5,7075,26750.2,7075
12,6/26/16 22:00,1,9,1200,1,1,62305.72,,25695.5,10687.5,43537.3,10687.5
13,6/26/16 22:05,2,7,2000,2,2,7553.31,,22877.5,10102,16382.9,10102
14,6/26/16 22:30,1,10,1400,1,1,39276.47,,31230.5,13824.5,65498.4,13824.5
15,6/26/16 22:40,2,8,1000,2,2,21657.82,,28719.5,12032,22306,12032
16,6/27/16 18:27,7,1,1250,5,1,52703.89,,8253.5,1809,5045.42,1809
17,6/27/16 18:45,8,1,1100,3,2,30114.4,,9179,3697,6430.06,3697
18,6/27/16 19:00,9,1,1100,4,2,94041.57,,10111.5,5158.5,21001.3,5158.5
19,6/27/16 19:05,7,2,1000,5,1,8305.03,,6014,1636,3172.5,1636
20,6/27/16 19:20,8,2,1000,3,2,15554.05,,12630.5,5790.5,9480.89,5790.5
21,6/27/16 19:30,9,2,1300,4,2,35569.9,,10246.5,2975,18329.3,2975
22,6/27/16 19:40,7,3,1450,5,1,25432.6,,15533.5,6085.5,10751.3,6085.5
23,6/27/16 19:55,8,3,1400,3,2,34029.59,,14694,6131.5,10115.1,6131.5
24,6/27/16 20:00,9,3,1300,4,2,18215.19,,9357,5522.5,16386.3,5522.5
25,6/27/16 20:15,7,4,1900,5,1,36060.21,,21062.5,8935,16904,8935
26,6/27/16 20:30,9,4,2200,4,2,65028.61,,17492.5,8266.5,30419.4,8266.5
27,6/27/16 20:35,8,4,1200,3,2,10603.87,,16553,7070,10896.3,7070
28,6/27/16 20:50,7,5,1450,5,1,22863.74,,17208,8678.5,14021.7,8678.5
29,6/27/16 21:00,9,5,2200,4,2,6887.63,,12452.5,6707,21928.3,6707
30,6/27/16 21:10,8,5,1600,3,2,11204.68,,16470,7771.5,7307.87,7771.5
31,6/27/16 21:25,7,6,1250,5,1,22731.24,,20620,8629,15311,8629
32,6/27/16 21:30,9,6,1300,4,2,19038.16,,16992,8750,30997.8,8750
33,6/27/16 21:45,8,6,1100,3,2,10429.85,,18416.5,8629.5,15215.5,8629.5
34,6/27/16 22:00,9,7,1000,4,2,42030.47,,19375,9849.5,30191.7,9849.5
35,6/27/16 22:05,7,7,1000,5,1,11236.35,,27776,11066.5,17617.3,11066.5
36,6/27/16 22:25,8,7,1400,3,2,30570.5,,37362,17935,24602.2,17935
37,6/27/16 22:30,9,8,1200,4,2,13204.9,,22383,9465,37520.4,9465
38,6/28/16 18:53,14,1,1050,6,1,62700.92,,12971.5,3612,15475.6,3612
39,6/28/16 19:00,15,1,1000,3,1,51512.78,,17889.5,7004,33900.8,7004
40,6/28/16 19:08,16,1,1000,7,1,25307.78,,7891.5,3572.5,7857,3572.5
41,6/28/16 19:15,17,1,1600,6,1,50347.41,,22985.5,6678.5,14667.2,6678.5
42,6/28/16 19:23,14,2,1050,6,1,56710.76,,12999.5,5089,12337,5089
43,6/28/16 19:30,15,2,1000,3,1,71388.64,,23773,11056.5,40127.7,11056.5
44,6/28/16 19:38,16,2,1200,7,1,20528.75,,11861.5,3865,11277.5,3865
45,6/28/16 19:45,17,2,1300,6,1,42494.39,,20611.5,6761.5,12449,6761.5
46,6/28/16 19:53,14,3,1350,6,1,25737.08,,14118,5964,11695.3,5964
47,6/28/16 20:00,15,3,1600,3,1,117248.92,,29541.5,15158,49597.7,15158
48,6/28/16 20:08,16,3,1600,7,1,28502.95,,13276.5,5362.5,13506.5,5362.5
49,6/28/16 20:15,17,3,1300,6,1,54656.09,,22728.5,7941.5,12837.8,7941.5
50,6/28/16 20:23,14,4,1200,6,1,57260.62,,20222.5,7520.5,17091.2,7520.5
51,6/28/16 20:30,15,4,1400,3,1,80253.41,,20751,10611,38525.1,10611
52,6/28/16 20:34,19,1,1000,7,3,13586,,7618,3029,18823.8,3029
53,6/28/16 20:38,16,4,2200,7,1,37374.31,,8372,2545,7941.27,2545
54,6/28/16 20:45,17,4,1400,6,1,40190.02,,32374.5,16248.5,16689.2,16248.5
55,6/28/16 20:53,14,5,1350,6,1,39340.53,,16816.5,6751.5,18155.4,6751.5
56,6/28/16 21:00,15,5,2400,3,1,64562.1,,29003.5,13863,45910.2,13863
57,6/28/16 21:04,19,2,1000,7,3,4794.29,,6497.5,3437,16849.5,3437
58,6/28/16 21:08,16,5,1000,7,1,15116.78,,10327,4688,11724.7,4688
59,6/28/16 21:15,17,5,2200,6,1,50406.98,,36575,20396,26500.6,20396
60,6/28/16 21:23,14,6,2200,6,1,45762.14,,24554,10256,24481.2,10256
61,6/28/16 21:30,15,6,1000,3,1,98187.77,,30626.5,14690,55107.2,14690
62,6/28/16 21:35,19,3,1000,7,3,30640.25,,9811,4257.5,19800.9,4257.5
63,6/28/16 21:40,16,6,1200,7,1,20212.72,,13779.5,4878,11108.4,4878
64,6/28/16 21:45,17,6,1400,6,1,53465.33,,44467.5,21739,27691.6,21739
65,6/28/16 21:53,14,7,1050,6,1,22277.46,,23652,8680,19151,8680
66,6/28/16 22:00,15,7,1700,3,1,119555.9,,36067.5,15935,58734.1,15935
67,6/28/16 22:05,19,4,1650,7,3,24118.18,,9237,3728,20387.9,3728
68,6/28/16 22:10,16,7,1600,7,1,13907.1,,11781.5,4596.5,8968.31,4596.5
69,6/28/16 22:15,17,7,1600,6,1,40705.92,,43034.5,21445.5,28417.1,21445.5
70,6/28/16 22:23,14,8,1600,6,1,86688.87,,27350,10761.5,24218.2,10761.5
71,6/28/16 22:30,15,8,1800,3,1,86037.98,,47397.5,20391.5,74419.6,20391.5
72,6/28/16 22:40,19,5,1650,7,3,33882.2,,24435.5,8201,33716.5,8201
73,6/28/16 22:50,16,8,1400,7,1,21921.9,,31497.5,11311,33695.3,11311
74,6/28/16 23:20,19,6,1400,7,3,52282.35,,33258.5,11565.5,44696.5,11565.5
75,6/28/16 23:55,19,7,1400,7,3,21324.11,,28906.5,11340.5,38328.6,11340.5
76,6/29/16 0:30,19,8,1650,7,3,27629.53,,36654,14006,58441.3,14006
77,6/29/16 18:10,23,1,1350,7,1,21700.99,,10547.5,4674.5,6324.48,4674.5
78,6/29/16 18:45,23,2,1100,7,1,20082.86,,15543,7858.5,9345.22,7858.5
79,6/29/16 19:00,24,1,1100,3,3,26611.28,,20277.5,9831,35549.1,9831
80,6/29/16 19:20,23,3,1100,7,1,76942.36,,17431,7671,11910.2,7671
81,6/29/16 19:30,24,2,2200,3,3,40483.89,,13303.5,5824,23758.8,5824
82,6/29/16 19:40,26,1,1300,5,1,17213.04,,9389.5,3093.5,8302.63,3093.5
83,6/29/16 19:55,23,4,1200,7,1,39788.3,,31241.5,13513,21921,13513
84,6/29/16 20:00,24,3,1400,3,3,22343.59,,15791.5,8906.5,25981.2,8906.5
85,6/29/16 20:15,26,2,1200,5,1,21275.61,,15289,5132,15938.8,5132
86,6/29/16 20:22,13,1,1300,5,1,13309.82,,7915.5,3160.5,15986.7,3160.5
87,6/29/16 20:30,24,4,1600,3,3,39222.82,,17793.5,9008.5,34581.4,9008.5
88,6/29/16 20:35,23,5,1600,7,1,25667.16,,28045,10298.5,14928,10298.5
89,6/29/16 20:55,26,3,1200,5,1,39975.51,,18025.5,7585,22413.3,7585
90,6/29/16 21:00,24,5,1600,3,3,37675.49,,17319.5,4613.5,26309.1,4613.5
91,6/29/16 21:04,13,2,1300,5,1,7392.29,,6450.5,3040,14546.6,3040
92,6/29/16 21:15,23,6,1350,7,1,38405.93,,42389.5,20367.5,25057.1,20367.5
93,6/29/16 21:30,24,6,1100,3,3,94397.42,,27481,11130,44808.6,11130
